id,name,externalid,,,,
1,Aeugst am Albis,,,,0,Aadorf
10,Obfelden,,,,1,Aarau
100,Stadel,,,,2,Aarberg
1001,Doppleschwand,,,,3,Aarburg
1002,Entlebuch,,,,4,Aarwangen
1004,Flühli,,,,5,Abtwil
1005,Hasle ,,,,6,Aclens
1007,Romoos,,,,7,Acquarossa
1008,Schüpfheim,,,,8,Adelboden
1009,Werthenstein,,,,9,Adligenswil
101,Steinmaur,,,,10,Adliswil
1010,Escholzmatt-Marbach,,,,11,Aedermannsdorf
102,Weiach,,,,12,Aefligen
1021,Aesch ,,,,13,Aegerten
1023,Ballwil,,,,14,Aesch
1024,Emmen,,,,15,Aesch bei Spiez
1025,Ermensee,,,,16,Aeschi bei Spiez
1026,Eschenbach ,,,,17,Aeschlen
1031,Hochdorf,,,,18,Affeltrangen
1032,Hohenrain,,,,19,Agno
1033,Inwil,,,,20,Aigle
1037,Rain,,,,21,Aigles
1039,Römerswil,,,,22,Airolo
1040,Rothenburg,,,,23,Alberswil
1041,Schongau,,,,24,Albeuve
1051,Adligenswil,,,,25,Allenwinden
1052,Buchrain,,,,26,Allschwil
1053,Dierikon,,,,27,Alpnach Dorf
1054,Ebikon,,,,28,Alt St. Johann
1055,Gisikon,,,,29,Altbüron
1056,Greppen,,,,30,Altdorf
1057,Honau,,,,31,Altenrhein
1058,Horw,,,,32,Alterswil
1059,Kriens,,,,33,Altikon
1061,Luzern,,,,34,Altishofen
1062,Malters,,,,35,Altnau
1063,Meggen,,,,36,Altstätten
1064,Meierskappel,,,,37,Amden
1065,Root,,,,38,Amlikon-Bissegg
1066,Schwarzenberg,,,,39,Ammerswil
1067,Udligenswil,,,,40,Andelfingen
1068,Vitznau,,,,41,Andermatt
1069,Weggis,,,,42,Andhausen
1081,Beromünster,,,,43,Anglikon
1082,Büron,,,,44,Anglikon (Wohlen AG)
1083,Buttisholz,,,,45,Appenzell
1084,Eich,,,,46,Appenzell AI
1085,Geuensee,,,,47,Appenzell Steinegg
1086,Grosswangen,,,,48,Appenzell-Steinegg
1088,Hildisrieden,,,,49,Apples
1089,Knutwil,,,,50,Arbaz
1091,Mauensee,,,,51,Arbedo-Castione
1093,Neuenkirch,,,,52,Arbon
1094,Nottwil,,,,53,Arconciel
1095,Oberkirch,,,,54,Ardon
1097,Rickenbach ,,,,55,Arisdorf
1098,Ruswil,,,,56,Arlesheim
1099,Schenkon,,,,57,Arnegg
11,Ottenbach,,,,58,Arni
1100,Schlierbach,,,,59,Arosio
1102,Sempach,,,,60,Arth
1103,Sursee,,,,61,Attalens
1104,Triengen,,,,62,Attelwil
1107,Wolhusen,,,,63,Attinghausen
111,Bäretswil,,,,64,Attiswil
112,Bubikon,,,,65,Au
1121,Alberswil,,,,66,Aubonne
1122,Altbüron,,,,67,Auenstein
1123,Altishofen,,,,68,Augst
1125,Dagmersellen,,,,69,Auslikon
1127,Egolzwil,,,,70,Auvernier
1128,Ettiswil,,,,71,Aven
1129,Fischbach,,,,72,Avrt-Dt-Pont
113,Dürnten,,,,73,Avry
1131,Grossdietwil,,,,74,Avry-Dt-Pont
1132,Hergiswil bei Willisau,,,,75,Avry-devant-Pont
1135,Luthern,,,,76,Ayent
1136,Menznau,,,,77,Azmoos
1137,Nebikon,,,,78,BEX
1139,Pfaffnau,,,,79,BURE
114,Fischenthal,,,,80,Baar
1140,Reiden,,,,81,Bachs
1142,Roggliswil,,,,82,Bad Ragaz
1143,Schötz,,,,83,Baden
1145,Ufhusen,,,,84,Baldingen
1146,Wauwil,,,,85,Balgach
1147,Wikon,,,,86,Ballaigues
115,Gossau (ZH),,,,87,Ballwil
1150,Zell ,,,,88,Baltschieder
116,Grüningen,,,,89,Banco di Bedigliola
117,Hinwil,,,,90,Bargen
118,Rüti (ZH),,,,91,Barzheim
119,Seegräben,,,,92,Basadingen
12,Rifferswil,,,,93,Basel
120,Wald (ZH),,,,94,Bassersdorf
1201,Altdorf ,,,,95,Bauen
1202,Andermatt,,,,96,Baulmes
1203,Attinghausen,,,,97,Bauma
1205,Bürglen ,,,,98,Bavois
1206,Erstfeld,,,,99,Bazenheid
1207,Flüelen,,,,100,Beckenried
1208,Göschenen,,,,101,Bedano
1209,Gurtnellen,,,,102,Begnins
121,Wetzikon (ZH),,,,103,Beinwil a.See
1210,Hospental,,,,104,Beinwil am See
1211,Isenthal,,,,105,Belfaux
1212,Realp,,,,106,Bellach
1213,Schattdorf,,,,107,Bellerive
1215,Seelisberg,,,,108,Bellevue
1216,Silenen,,,,109,Bellinzona
1217,Sisikon,,,,110,Bellwald
1218,Spiringen,,,,111,Belmont
1219,Unterschächen,,,,112,Belp
1220,Wassen,,,,113,Belprahon
13,Stallikon,,,,114,Benken
1301,Einsiedeln,,,,115,Bennau
131,Adliswil,,,,116,Benzenschwil
1311,Gersau,,,,117,Berg
1321,Feusisberg,,,,118,Berg SG
1322,Freienbach,,,,119,Berg TG
1323,Wollerau,,,,120,Bergdietikon
1331,Küssnacht ,,,,121,Bergdietikon AG
1341,Altendorf,,,,122,Bergün
1342,Galgenen,,,,123,Berikon
1343,Innerthal,,,,124,Beringen
1344,Lachen,,,,125,Berlingen
1345,Reichenburg,,,,126,Bern
1346,Schübelbach,,,,127,Berneck
1347,Tuggen,,,,128,Bernex
1348,Vorderthal,,,,129,Bernhardzell
1349,Wangen ,,,,130,Beromuenster
135,Kilchberg (ZH),,,,131,Beromünster
136,Langnau am Albis,,,,132,Bertschikon
1361,Alpthal,,,,133,Betschwanden
1362,Arth,,,,134,Bettlach
1363,Illgau,,,,135,Bettwil
1364,Ingenbohl,,,,136,Bevaix
1365,Lauerz,,,,137,Bever
1366,Morschach,,,,138,Biberist
1367,Muotathal,,,,139,Bibern
1368,Oberiberg,,,,140,Bichelsee-Balterswil
1369,Riemenstalden,,,,141,Bichwil
137,Oberrieden,,,,142,Biel
1370,Rothenthurm,,,,143,Biel-Benken
1371,Sattel,,,,144,Biel-Bienne
1372,Schwyz,,,,145,Biembach
1373,Steinen,,,,146,Biezwil
1374,Steinerberg,,,,147,Biglen
1375,Unteriberg,,,,148,Bignasco
138,Richterswil,,,,149,Billens
139,Rüschlikon,,,,150,Bilten
14,Wettswil am Albis,,,,151,Binn
1401,Alpnach,,,,152,Binningen
1402,Engelberg,,,,153,Bioggio
1403,Giswil,,,,154,Birmensdorf
1404,Kerns,,,,155,Birr
1405,Lungern,,,,156,Birsfelden
1406,Sachseln,,,,157,Bischofszell
1407,Sarnen,,,,158,Bissegg
141,Thalwil,,,,159,Bitsch
1501,Beckenried,,,,160,Bivio
1502,Buochs,,,,161,Bière
1503,Dallenwil,,,,162,Bleienbach
1504,Emmetten,,,,163,Bleiken
1505,Ennetbürgen,,,,164,Blonay
